Nombre,Sector,Ciudad,Teléfono,Correo,Sitio Web,Contacto
Universidad Popular del Cesar,Educación,"Valledupar, Cesar",5700000,rectoria@unicesar.edu.co,https://www.unicesar.edu.co,Dr. Rodolfo Alfredo Álvarez
Gobernación del Cesar,Gobierno,"Valledupar, Cesar",5737616,sectic@gobcesar.gov.co,https://www.cesar.gov.co,Dra. Claudia Marcela Castillo
Cerrejón,Minería,La Guajira/Cesar,3154789562,fernando.hurtado@cerrejon.com,https://www.cerrejon.com,Ing. Fernando Hurtado
DrumBeat Energy,Energía,"Valledupar, Cesar",3157896542,carlosmaestre@drumbeat.co,https://www.drumbeatenergy.com,Ing. Carlos Andrés Maestre
Comfacesar,Servicios,"Valledupar, Cesar",5851212,marthaduran@comfacesar.com,https://www.comfacesar.com,Ing. Martha Cecilia Durán
Hospital Rosario Pumarejo de López,Salud,"Valledupar, Cesar",5801842,sistemas@hrplopez.gov.co,https://www.hrplopez.gov.co,Dr. Ricardo Antonio Silva
Alcaldía de Valledupar,Gobierno,"Valledupar, Cesar",5845630,tic@valledupar.gov.co,https://www.valledupar.gov.co,Ing. Jorge Armando Daza
TechValledupar,Tecnología,"Valledupar, Cesar",3184569872,mariajose@techvalledupar.co,https://www.techvalledupar.co,Ing. María José Calderón
Datactiva,Tecnología,"Valledupar, Cesar",3009876543,cquintero@datactiva.com,https://www.datactiva.com,Ing. Cristian David Quintero
Cámara de Comercio de Valledupar,Servicios,"Valledupar, Cesar",5885656,direccion@ccvalledupar.org.co,https://www.ccvalledupar.org.co,Dr. José Luis Urón
SENA Regional Cesar,Educación,"Valledupar, Cesar",5803838,dirregionalcesar@sena.edu.co,https://www.sena.edu.co,Dra. Luisa Fernanda Torres
Banco Agrario - Regional Cesar,Financiero,"Valledupar, Cesar",5808080,gerencia.cesar@bancoagrario.gov.co,https://www.bancoagrario.gov.co,Dr. Jaime Alberto Pérez
Lácteos del Cesar,Agroindustria,"Valledupar, Cesar",5847474,cmesa@lacteoscesar.com,https://www.lacteoscesar.com,Ing. Carolina Mesa Rodríguez
Coosalud EPS,Salud,"Valledupar, Cesar",5806060,matorres@coosalud.com,https://www.coosalud.com,Dra. María Alejandra Torres
Palmagro,Agroindustria,"Codazzi, Cesar",5767676,rmendoza@palmagro.com.co,https://www.palmagro.com.co,Ing. Ricardo Mendoza López
Drummond Ltd.,Minería,"La Loma, Cesar",5878787,rdiaz@drummond.com,https://www.drummondltd.com,Ing. Roberto Carlos Díaz
Fundación Universitaria del Área Andina,Educación,"Valledupar, Cesar",5898989,ameza@areandina.edu.co,https://www.areandina.edu.co,Dra. Adriana Meza Salazar
Cooperativa Multiactiva de Profesionales del Cesar,Servicios,"Valledupar, Cesar",5909090,gerencia@coomprocesar.coop,https://www.coomprocesar.coop,Dr. Luis Eduardo Ochoa
Distribuidora Rayco,Comercio,"Valledupar, Cesar",5828282,asanchez@rayco.co,https://www.rayco.co,Ing. Alberto Sánchez Mendoza
Interaseo S.A.,Servicios Públicos,"Valledupar, Cesar",5818181,mfcastro@interaseo.com.co,https://www.interaseo.com.co,Ing. María Fernanda Castro
