title,beneficiaries,location,startDate,endDate,description,objectives,results,participants,status
"Alfabetización digital para adultos mayores","120 adultos mayores del municipio","Valledupar, Cesar","2022-03-15","2022-11-30","Programa de alfabetización digital dirigido a adultos mayores de la ciudad de Valledupar, proporcionando conocimientos básicos en uso de dispositivos, internet y comunicación digital.","Reducir la brecha digital generacional, Fomentar la inclusión social de adultos mayores, Mejorar la comunicación familiar a través de medios digitales, Promover la autonomía digital.","120 adultos mayores capacitados, 85% reportó mejora en comunicación familiar, 65% utiliza servicios públicos en línea, Creación de red de apoyo tecnológico comunitario.","15 estudiantes y 3 docentes del programa de Ingeniería de Sistemas UPC","completed"
"Plataforma telemática para comunidades rurales del Cesar","1,500 habitantes de 5 veredas rurales","Municipios de Agustín Codazzi y La Paz, Cesar","2021-07-01","2023-07-31","Implementación de plataforma de telemedicina que permite a habitantes de zonas rurales acceder a consultas médicas remotas, reduciendo barreras geográficas y mejorando el acceso a servicios de salud.","Implementar solución de telemedicina para zonas rurales, Capacitar a personal local en el uso de la plataforma, Reducir tiempos de desplazamiento para atención médica, Mejorar acceso a especialistas médicos.","Reducción del 70% en tiempo de desplazamiento para consultas médicas, 1,200 teleconsultas realizadas, 85% de satisfacción entre usuarios, Capacitación de 25 promotores de salud.","8 estudiantes, 2 docentes de Ingeniería de Sistemas y 6 profesionales de la salud","completed"
"Aplicación para preservación de lengua Yukpa","200 niños de comunidades indígenas Yukpa","Sierra de Perijá, Cesar","2022-01-10","2022-12-15","Desarrollo de una aplicación educativa para preservar y enseñar la lengua Yukpa a niños de comunidades indígenas del Cesar, utilizando juegos interactivos, audio y recursos visuales adaptados culturalmente.","Preservar el patrimonio lingüístico Yukpa, Crear herramientas educativas culturalmente adaptadas, Facilitar el aprendizaje de la lengua en nuevas generaciones, Documentar vocabulario y expresiones tradicionales.","Aplicación con 500 términos y expresiones Yukpa, Incremento del 40% en vocabulario activo de niños participantes, Documentación digital de tradiciones orales, Empoderamiento de 15 docentes indígenas.","4 estudiantes, 2 docentes de la UPC y 5 sabedores indígenas","completed"
"Red de monitoreo ambiental comunitario","5 comunidades rurales y periurbanas","Cuenca del río Guatapurí, Cesar","2023-02-01","2024-02-01","Desarrollo e implementación de una red de monitoreo ambiental basada en IoT, que permite a comunidades monitorear calidad del agua, aire y suelo, generando datos para la toma de decisiones y alerta temprana.","Implementar sensores IoT para monitoreo ambiental, Capacitar a comunidades en interpretación de datos, Crear sistema de alerta temprana para riesgos ambientales, Generar base de datos abierta para investigación.","15 estaciones de monitoreo instaladas, Detección temprana de 3 eventos de contaminación, Capacitación de 25 líderes comunitarios, Publicación de datos en plataforma de acceso abierto.","6 estudiantes y 3 docentes de Ingeniería de Sistemas UPC","in_progress"
"Apropiación tecnológica para pequeños agricultores","150 pequeños productores agrícolas","Municipios de Manaure, La Paz y San Diego, Cesar","2021-08-15","2022-08-15","Programa de capacitación y desarrollo de aplicaciones móviles para pequeños agricultores, enfocado en mejora de prácticas agrícolas, comercialización directa y adaptación al cambio climático.","Capacitar en uso de tecnologías para agricultura, Desarrollar aplicación para comercialización directa, Implementar sistemas de monitoreo climático, Mejorar rentabilidad de pequeños productores.","150 agricultores capacitados, Aplicación móvil con 2,000 descargas, Incremento promedio del 15% en ingresos, Red de 10 estaciones meteorológicas comunitarias.","12 estudiantes y 4 docentes de la UPC, 5 técnicos agrícolas del SENA","completed"
"Plataforma educativa para escuelas rurales","800 estudiantes de 12 escuelas rurales","Zona rural de Valledupar, Cesar","2022-06-01","2023-06-30","Implementación de plataforma educativa offline/online adaptada a contextos rurales con conectividad limitada, incluyendo contenidos localmente relevantes y metodologías de aprendizaje activo.","Mejorar acceso a contenidos educativos de calidad, Adaptar recursos pedagógicos al contexto rural, Capacitar a docentes en uso de tecnologías educativas, Implementar modelo de sincronización con conectividad limitada.","12 escuelas equipadas con servidores educativos, 80 docentes capacitados, Mejora del 25% en resultados de evaluaciones, Desarrollo de 200 recursos educativos adaptados.","10 estudiantes y 5 docentes de la UPC, 15 docentes rurales","completed"
"Sistema de alerta temprana para comunidades en riesgo","2,000 habitantes de zonas inundables","Ribera del río Cesar, municipios de Valledupar y La Paz","2023-01-15","2024-01-15","Desarrollo e implementación de un sistema comunitario de alerta temprana para inundaciones, que integra sensores IoT, comunicación móvil y protocolos de respuesta comunitaria.","Implementar red de sensores de nivel del río, Desarrollar aplicación móvil de alertas, Capacitar a comunidades en protocolos de evacuación, Reducir impacto de inundaciones en comunidades vulnerables.","10 estaciones de monitoreo instaladas, Sistema de alertas vía SMS implementado, 50 líderes comunitarios capacitados, Reducción estimada del 40% en riesgo de pérdidas materiales.","8 estudiantes y 3 docentes de Ingeniería de Sistemas UPC","in_progress"
"Desarrollo de comercio electrónico para artesanos indígenas","80 artesanos de comunidades Arhuacas y Kankuamas","Sierra Nevada de Santa Marta, Cesar","2022-04-10","2023-04-10","Plataforma de comercio electrónico y capacitación para artesanos indígenas, permitiéndoles comercializar sus productos tradicionales directamente a consumidores nacionales e internacionales.","Desarrollar plataforma de e-commerce adaptada, Capacitar a artesanos en comercio digital, Preservar técnicas artesanales tradicionales, Mejorar ingresos de comunidades indígenas.","Plataforma con 500 productos artesanales, Incremento promedio del 35% en ingresos de artesanos, Exportación a 5 países, Preservación documentada de 15 técnicas artesanales.","6 estudiantes y 2 docentes de la UPC, 4 líderes artesanos","completed"
"Bibliotecas digitales comunitarias","5 comunidades marginadas urbanas y rurales","Valledupar y municipios del norte del Cesar","2023-03-01","2024-03-01","Implementación de bibliotecas digitales comunitarias con acceso a recursos educativos, literarios y culturales, adaptadas para funcionar con conectividad limitada y energía solar.","Implementar centros de acceso a información digital, Desarrollar sistema de bibliotecas con sincronización periódica, Capacitar a gestores comunitarios, Fomentar hábitos de lectura y aprendizaje.","5 bibliotecas digitales implementadas, Catálogo de 10,000 recursos digitales, 25 gestores comunitarios capacitados, 1,500 usuarios registrados.","7 estudiantes y 3 docentes de la UPC","in_progress"
"Sistemas de energía renovable para telecentros rurales","8 comunidades rurales sin acceso a red eléctrica estable","Municipios de La Jagua de Ibirico y Chiriguaná, Cesar","2021-09-15","2022-09-15","Diseño e implementación de sistemas de energía solar para telecentros comunitarios, proporcionando acceso a computadoras, internet y capacitación tecnológica en zonas rurales marginadas.","Implementar sistemas solares fotovoltaicos autónomos, Equipar telecentros con computadoras e internet satelital, Capacitar a comunidades en mantenimiento básico, Desarrollar programas de alfabetización digital.","8 telecentros implementados con energía solar, 40 computadoras instaladas, 800 personas con acceso a internet, 300 personas capacitadas en competencias digitales.","9 estudiantes y 4 docentes de Ingeniería de Sistemas UPC","completed"
